Feature,Coefficient,AbsCoefficient
TenureGroup_New,2.423369541730792,2.423369541730792
TenureGroup_Established,-1.9521673308271466,1.9521673308271466
Tenure,-1.194041461926806,1.194041461926806
HighMonthlyChargeFlag,-1.1373129139150573,1.1373129139150573
LifetimeValueProxy,-0.8672517644526313,0.8672517644526313
MonthlyCharges,0.6249691192888863,0.6249691192888863
MonthlyChargeIntensity,0.6249691192888862,0.6249691192888862
ContractRiskScore,0.5789447642427794,0.5789447642427794
ChargeGap,0.5106563568763448,0.5106563568763448
LongTenureFlag,-0.4716608689284485,0.4716608689284485
TenureGroup_Loyal,-0.467869804674809,0.467869804674809
Contract,-0.45500025455309695,0.45500025455309695
PaperlessBilling,0.3510027726666936,0.3510027726666936
TotalCharges,-0.31739821437319543,0.31739821437319543
MonthlyToTotalRatio,0.2953798088188904,0.2953798088188904
SeniorCitizen,-0.19462648724046408,0.19462648724046408
PaymentMethod_Bank Transfer,-0.19047749103101602,0.19047749103101602
AvgChargePerTenure,0.16788855333487182,0.16788855333487182
PaymentMethod_Electronic Check,0.1328364020457295,0.1328364020457295
AutoPaymentFlag,-0.12950399581689276,0.12950399581689276
PaymentMethod_Credit Card,0.06097349521412349,0.06097349521412349
