Customer_ID,Total_Revenue,Orders,Units,Average_Order_Value,First_Order,Last_Order,Main_Region,Main_Product,Tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,PaperlessBilling,SeniorCitizen,Churn,Estimated_Lifetime_Value,Churn_Label,Tenure_Group,_merge
CUST001,261100,1,7,261100.0,2024-01-01,2024-01-01,East,Phone,,,,,,,,,,,,left_only
CUST002,61624,1,4,61624.0,2024-01-02,2024-01-02,North,Headphones,,,,,,,,,,,,left_only
CUST003,43492,1,2,43492.0,2024-01-03,2024-01-03,West,Phone,,,,,,,,,,,,left_only
CUST004,30895,1,1,30895.0,2024-01-04,2024-01-04,East,Headphones,,,,,,,,,,,,left_only
CUST005,318680,1,8,318680.0,2024-01-05,2024-01-05,North,Laptop,,,,,,,,,,,,left_only
CUST006,282940,1,7,282940.0,2024-01-06,2024-01-06,South,Laptop,,,,,,,,,,,,left_only
CUST007,363870,1,9,363870.0,2024-01-07,2024-01-07,South,Laptop,,,,,,,,,,,,left_only
CUST008,50834,1,7,50834.0,2024-01-08,2024-01-08,West,Laptop,,,,,,,,,,,,left_only
CUST009,98373,1,3,98373.0,2024-01-09,2024-01-09,North,Tablet,,,,,,,,,,,,left_only
CUST010,180092,1,4,180092.0,2024-01-10,2024-01-10,West,Laptop,,,,,,,,,,,,left_only
CUST011,49280,1,8,49280.0,2024-01-11,2024-01-11,West,Monitor,,,,,,,,,,,,left_only
CUST012,26466,1,2,26466.0,2024-01-12,2024-01-12,West,Phone,,,,,,,,,,,,left_only
CUST013,165240,1,8,165240.0,2024-01-13,2024-01-13,East,Phone,,,,,,,,,,,,left_only
CUST014,16780,1,4,16780.0,2024-01-14,2024-01-14,East,Headphones,,,,,,,,,,,,left_only
CUST015,68894,1,2,68894.0,2024-01-15,2024-01-15,West,Headphones,,,,,,,,,,,,left_only
CUST016,373932,1,9,373932.0,2024-01-16,2024-01-16,South,Phone,,,,,,,,,,,,left_only
CUST017,67440,1,5,67440.0,2024-01-17,2024-01-17,South,Phone,,,,,,,,,,,,left_only
CUST018,77288,1,4,77288.0,2024-01-18,2024-01-18,North,Tablet,,,,,,,,,,,,left_only
CUST019,44045,1,1,44045.0,2024-01-19,2024-01-19,West,Tablet,,,,,,,,,,,,left_only
CUST020,333992,1,8,333992.0,2024-01-20,2024-01-20,North,Laptop,,,,,,,,,,,,left_only
