Date,Customer_ID,Product,Region,Quantity,Price,Marketing_Spend,Revenue,Profit,Tenure,MonthlyCharges,TotalCharges,Contract,Churn,Customer_Value_Segment,Month
2024-01-01,CUST001,Phone,East,7,37300,42670.0,261100.0,50653.0,6,64.0,1540.0,One year,0,High,2024-01
2024-01-02,CUST002,Headphones,North,4,15406,31607.0,61624.0,11092.0,21,113.0,1753.0,Month-to-month,0,Low,2024-01
2024-01-03,CUST003,Phone,West,2,21746,27187.0,43492.0,8350.0,27,31.0,1455.0,Two year,0,Low,2024-01
2024-01-04,CUST004,Headphones,East,1,30895,27448.0,30895.0,5468.0,53,29.0,7150.0,Month-to-month,0,Low,2024-01
2024-01-05,CUST005,Laptop,North,8,39835,51096.0,318680.0,65329.0,16,185.0,1023.0,One year,0,High,2024-01
2024-01-06,CUST006,Laptop,South,7,40420,43025.0,282940.0,56022.0,55,44.0,7538.0,Two year,0,High,2024-01
2024-01-07,CUST007,Laptop,South,9,40430,48950.0,363870.0,72046.0,66,99.0,4178.0,Two year,0,High,2024-01
2024-01-08,CUST008,Laptop,West,7,7262,36141.0,50834.0,10167.0,61,128.0,3088.0,Month-to-month,0,Low,2024-01
2024-01-09,CUST009,Tablet,North,3,32791,36540.0,98373.0,18789.0,64,124.0,7973.0,Month-to-month,0,Medium,2024-01
2024-01-10,CUST010,Laptop,West,4,45023,42503.0,180092.0,36018.0,14,120.0,5844.0,One year,0,High,2024-01
2024-01-11,CUST011,Monitor,West,8,6160,33840.0,49280.0,9166.0,59,57.0,5168.0,One year,0,Low,2024-01
2024-01-12,CUST012,Phone,West,2,13233,27867.0,26466.0,5081.0,7,110.0,7282.0,Month-to-month,1,Low,2024-01
2024-01-13,CUST013,Phone,East,8,20655,40186.0,165240.0,32057.0,53,86.0,3438.0,Month-to-month,0,High,2024-01
2024-01-14,CUST014,Headphones,East,4,4195,29788.0,16780.0,2970.0,8,158.0,6194.0,Month-to-month,1,Low,2024-01
2024-01-15,CUST015,Headphones,West,2,34447,31508.0,68894.0,12056.0,53,58.0,768.0,Month-to-month,0,Medium,2024-01
2024-01-16,CUST016,Phone,South,9,41548,47946.0,373932.0,71047.0,65,77.0,4071.0,Month-to-month,0,High,2024-01
2024-01-17,CUST017,Phone,South,5,13488,36377.0,67440.0,12814.0,19,187.0,4874.0,Two year,0,Medium,2024-01
2024-01-18,CUST018,Tablet,North,4,19322,33034.0,77288.0,14762.0,42,101.0,3736.0,One year,0,Medium,2024-01
2024-01-19,CUST019,Tablet,West,1,44045,37467.0,44045.0,8192.0,7,156.0,5389.0,One year,1,Low,2024-01
