CustomerID,Tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,PaperlessBilling,SeniorCitizen,Churn,CustomerValue,TenureSegment
C00001,6,64,1540,One year,Credit Card,No,1,0,384,New
C00002,21,113,1753,Month-to-month,Electronic Check,Yes,1,0,2373,Developing
C00003,27,31,1455,Two year,Credit Card,No,1,0,837,Developing
C00004,53,29,7150,Month-to-month,Electronic Check,No,1,0,1537,Loyal
C00005,16,185,1023,One year,Electronic Check,No,1,0,2960,Developing
C00006,55,44,7538,Two year,Electronic Check,No,0,0,2420,Loyal
C00007,66,99,4178,Two year,Bank Transfer,No,1,0,6534,Loyal
C00008,61,128,3088,Month-to-month,Bank Transfer,No,1,0,7808,Loyal
C00009,64,124,7973,Month-to-month,Credit Card,No,1,0,7936,Loyal
C00010,14,120,5844,One year,Bank Transfer,Yes,1,0,1680,Developing
C00011,59,57,5168,One year,Credit Card,Yes,0,0,3363,Loyal
C00012,7,110,7282,Month-to-month,Electronic Check,No,1,1,770,New
C00013,53,86,3438,Month-to-month,Bank Transfer,Yes,1,0,4558,Loyal
C00014,8,158,6194,Month-to-month,Credit Card,No,1,1,1264,New
C00015,53,58,768,Month-to-month,Credit Card,Yes,1,0,3074,Loyal
C00016,65,77,4071,Month-to-month,Credit Card,Yes,1,0,5005,Loyal
C00017,19,187,4874,Two year,Credit Card,No,0,0,3553,Developing
C00018,42,101,3736,One year,Bank Transfer,Yes,0,0,4242,Loyal
C00019,7,156,5389,One year,Bank Transfer,Yes,0,1,1092,New
C00020,26,105,6868,Month-to-month,Bank Transfer,Yes,1,0,2730,Developing
C00021,38,137,1000,Month-to-month,Electronic Check,No,1,0,5206,Loyal
C00022,25,120,4855,Two year,Credit Card,Yes,0,0,3000,Developing
C00023,60,40,1755,One year,Credit Card,No,1,0,2400,Loyal
C00024,30,100,3710,Two year,Credit Card,No,1,0,3000,Developing
C00025,25,193,7565,Month-to-month,Bank Transfer,No,0,0,4825,Developing
C00026,47,181,3295,One year,Credit Card,No,1,0,8507,Loyal
C00027,60,101,3741,Month-to-month,Bank Transfer,No,1,0,6060,Loyal
C00028,20,56,3950,One year,Bank Transfer,No,1,0,1120,Developing
C00029,36,175,3682,One year,Bank Transfer,No,0,0,6300,Developing
C00030,34,190,7540,One year,Bank Transfer,No,1,0,6460,Developing
C00031,28,101,4643,One year,Electronic Check,Yes,1,0,2828,Developing
C00032,10,196,4825,Month-to-month,Credit Card,Yes,0,1,1960,New
C00033,43,182,7129,One year,Electronic Check,Yes,0,0,7826,Loyal
C00034,32,195,7139,One year,Bank Transfer,Yes,1,0,6240,Developing
C00035,60,44,1302,One year,Credit Card,No,1,0,2640,Loyal
C00036,50,116,690,Month-to-month,Credit Card,No,1,0,5800,Loyal
C00037,37,42,947,Month-to-month,Electronic Check,No,0,0,1554,Loyal
C00038,62,166,6225,Two year,Electronic Check,Yes,1,0,10292,Loyal
C00039,50,84,858,Month-to-month,Credit Card,No,0,0,4200,Loyal
C00040,26,151,1952,Two year,Electronic Check,No,0,0,3926,Developing
C00041,42,20,1950,Two year,Credit Card,Yes,1,0,840,Loyal
C00042,7,148,2701,Two year,Credit Card,Yes,0,0,1036,New
C00043,63,89,6547,One year,Electronic Check,Yes,0,0,5607,Loyal
C00044,42,123,3913,Month-to-month,Credit Card,No,1,0,5166,Loyal
C00045,34,93,3344,Two year,Credit Card,Yes,0,0,3162,Developing
C00046,32,170,4773,Two year,Credit Card,No,1,0,5440,Developing
C00047,22,46,7555,Month-to-month,Bank Transfer,No,1,0,1012,Developing
C00048,37,162,3735,Month-to-month,Electronic Check,Yes,1,0,5994,Loyal
C00049,56,49,3376,Month-to-month,Bank Transfer,No,0,0,2744,Loyal
C00050,49,121,5161,One year,Bank Transfer,Yes,0,0,5929,Loyal
C00051,71,172,416,Month-to-month,Electronic Check,No,1,0,12212,Loyal
C00052,31,154,7537,Two year,Credit Card,Yes,1,0,4774,Developing
C00053,53,48,1497,One year,Credit Card,No,0,0,2544,Loyal
C00054,49,68,2615,Month-to-month,Bank Transfer,Yes,1,0,3332,Loyal
C00055,9,157,7022,Month-to-month,Bank Transfer,No,0,1,1413,New
C00056,47,54,6827,Two year,Bank Transfer,Yes,0,0,2538,Loyal
C00057,58,121,3537,One year,Credit Card,No,1,0,7018,Loyal
C00058,59,72,7053,Month-to-month,Bank Transfer,Yes,0,0,4248,Loyal
C00059,36,38,3792,One year,Bank Transfer,Yes,1,0,1368,Developing
C00060,26,182,7074,Month-to-month,Credit Card,No,0,0,4732,Developing
C00061,23,187,5608,Month-to-month,Electronic Check,No,1,0,4301,Developing
C00062,10,195,4284,Two year,Electronic Check,No,0,1,1950,New
C00063,53,128,5803,One year,Bank Transfer,No,0,0,6784,Loyal
C00064,25,176,4496,One year,Bank Transfer,No,1,0,4400,Developing
C00065,65,180,4142,One year,Credit Card,Yes,0,0,11700,Loyal
C00066,3,140,2541,One year,Electronic Check,No,1,0,420,New
C00067,53,61,3631,One year,Bank Transfer,No,0,0,3233,Loyal
C00068,62,62,3016,Two year,Credit Card,Yes,0,0,3844,Loyal
C00069,2,102,1333,Two year,Credit Card,Yes,0,1,204,New
C00070,53,21,6828,One year,Credit Card,No,0,0,1113,Loyal
C00071,69,153,1418,Month-to-month,Electronic Check,No,0,0,10557,Loyal
C00072,68,153,1930,One year,Electronic Check,Yes,0,0,10404,Loyal
